Insert: 20, 384, 143, 455, 374, 489, 274, 149, 267, 890, 547, 152, 756
Node: 274, Parent: nil, Left: 143, Right: 384, Color: Black
Node: 78, Parent: 45, Left: nil, Right: nil, Color: Red
Node: 728, Parent: 749, Left: nil, Right: nil, Color: Red
Node: 863, Parent: 820, Left: nil, Right: nil, Color: Red
Node: 935, Parent: 890, Left: nil, Right: nil, Color: Red

Delete: 45, 78, 267, 384, 139, 149, 118, 143, 193, 489, 820, 343, 374, 890, 756
Node: 274, Parent: nil, Left: 152, Right: 728, Color: Black
Node: 152, Parent: 274, Left: 20, Right: 242, Color: Black
Node: 728, Parent: 274, Left: 547, Right: 863, Color: Red
Node: 20, Parent: 152, Left: nil, Right: nil, Color: Black
Node: 242, Parent: 152, Left: 158, Right: nil, Color: Black
Node: 547, Parent: 728, Left: 455, Right: 569, Color: Black
Node: 863, Parent: 728, Left: 749, Right: 886, Color: Black
Node: 158, Parent: 242, Left: nil, Right: nil, Color: Red
Node: 455, Parent: 547, Left: nil, Right: nil, Color: Black
Node: 569, Parent: 547, Left: nil, Right: nil, Color: Black
Node: 749, Parent: 863, Left: nil, Right: nil, Color: Black
Node: 886, Parent: 863, Left: nil, Right: 935, Color: Black
Node: 935, Parent: 886, Left: nil, Right: nil, Color: Red

Insert: 14, 997, 597, 201, 126, 65, 786, 744, 4, 606, 735, 318, 499, 776, 795, 187, 521, 417, 559, 827
Node: 274, Parent: nil, Left: 152, Right: 728, Color: Black
Node: 152, Parent: 274, Left: 20, Right: 201, Color: Black
Node: 728, Parent: 274, Left: 547, Right: 786, Color: Red
Node: 20, Parent: 152, Left: 14, Right: 126, Color: Red
Node: 201, Parent: 152, Left: 158, Right: 242, Color: Red
Node: 547, Parent: 728, Left: 455, Right: 597, Color: Black
Node: 786, Parent: 728, Left: 749, Right: 863, Color: Black
Node: 14, Parent: 20, Left: 4, Right: nil, Color: Black
Node: 126, Parent: 20, Left: 65, Right: nil, Color: Black
Node: 158, Parent: 201, Left: nil, Right: 187, Color: Black
Node: 242, Parent: 201, Left: nil, Right: nil, Color: Black
Node: 455, Parent: 547, Left: 318, Right: 499, Color: Red
Node: 597, Parent: 547, Left: 569, Right: 606, Color: Red
Node: 749, Parent: 786, Left: 744, Right: 776, Color: Red
Node: 863, Parent: 786, Left: 795, Right: 935, Color: Red
Node: 4, Parent: 14, Left: nil, Right: nil, Color: Red
Node: 65, Parent: 126, Left: nil, Right: nil, Color: Red
Node: 187, Parent: 158, Left: nil, Right: nil, Color: Red
Node: 318, Parent: 455, Left: nil, Right: 417, Color: Black
Node: 499, Parent: 455, Left: nil, Right: 521, Color: Black
Node: 569, Parent: 597, Left: 559, Right: nil, Color: Black
Node: 606, Parent: 597, Left: nil, Right: nil, Color: Black
Node: 744, Parent: 749, Left: 735, Right: nil, Color: Black
Node: 776, Parent: 749, Left: nil, Right: nil, Color: Black
Node: 795, Parent: 863, Left: nil, Right: 827, Color: Black
Node: 935, Parent: 863, Left: 886, Right: 997, Color: Black
Node: 417, Parent: 318, Left: nil, Right: nil, Color: Red
Node: 521, Parent: 499, Left: nil, Right: nil, Color: Red
Node: 559, Parent: 569, Left: nil, Right: nil, Color: Red
Node: 735, Parent: 744, Left: nil, Right: nil, Color: Red
Node: 827, Parent: 795, Left: nil, Right: nil, Color: Red
Node: 886, Parent: 935, Left: nil, Right: nil, Color: Red
Node: 997, Parent: 935, Left: nil, Right: nil, Color: Red

Insert: 635, 288, 883, 302, 369, 296, 438, 477, 418, 367, 621, 307, 492, 633, 382, 301, 831, 196
Node: 728, Parent: nil, Left: 417, Right: 786, Color: Black
Node: 417, Parent: 728, Left: 274, Right: 547, Color: Black
Node: 786, Parent: 728, Left: 749, Right: 863, Color: Black
Node: 274, Parent: 417, Left: 152, Right: 318, Color: Red
Node: 547, Parent: 417, Left: 455, Right: 597, Color: Red
Node: 749, Parent: 786, Left: 744, Right: 776, Color: Black
Node: 863, Parent: 786, Left: 827, Right: 935, Color: Black
Node: 152, Parent: 274, Left: 20, Right: 201, Color: Black
Node: 318, Parent: 274, Left: 296, Right: 369, Color: Black
Node: 455, Parent: 547, Left: 438, Right: 499, Color: Black
Node: 597, Parent: 547, Left: 569, Right: 621, Color: Black
Node: 744, Parent: 749, Left: 735, Right: nil, Color: Black
Node: 776, Parent: 749, Left: nil, Right: nil, Color: Black
Node: 827, Parent: 863, Left: 795, Right: 831, Color: Black
Node: 935, Parent: 863, Left: 886, Right: 997, Color: Red
Node: 20, Parent: 152, Left: 14, Right: 126, Color: Red
Node: 201, Parent: 152, Left: 187, Right: 242, Color: Red
Node: 296, Parent: 318, Left: 288, Right: 302, Color: Red
Node: 369, Parent: 318, Left: 367, Right: 382, Color: Black
Node: 438, Parent: 455, Left: 418, Right: nil, Color: Black
Node: 499, Parent: 455, Left: 477, Right: 521, Color: Red
Node: 569, Parent: 597, Left: 559, Right: nil, Color: Black
Node: 621, Parent: 597, Left: 606, Right: 635, Color: Red
Node: 735, Parent: 744, Left: nil, Right: nil, Color: Red
Node: 795, Parent: 827, Left: nil, Right: nil, Color: Red
Node: 831, Parent: 827, Left: nil, Right: nil, Color: Red
Node: 886, Parent: 935, Left: 883, Right: nil, Color: Black
Node: 997, Parent: 935, Left: nil, Right: nil, Color: Black
Node: 14, Parent: 20, Left: 4, Right: nil, Color: Black
Node: 126, Parent: 20, Left: 65, Right: nil, Color: Black
Node: 187, Parent: 201, Left: 158, Right: 196, Color: Black
Node: 242, Parent: 201, Left: nil, Right: nil, Color: Black
Node: 288, Parent: 296, Left: nil, Right: nil, Color: Black
Node: 302, Parent: 296, Left: 301, Right: 307, Color: Black
Node: 367, Parent: 369, Left: nil, Right: nil, Color: Red
Node: 382, Parent: 369, Left: nil, Right: nil, Color: Red
Node: 418, Parent: 438, Left: nil, Right: nil, Color: Red
Node: 477, Parent: 499, Left: nil, Right: 492, Color: Black
Node: 521, Parent: 499, Left: nil, Right: nil, Color: Black
Node: 559, Parent: 569, Left: nil, Right: nil, Color: Red
Node: 606, Parent: 621, Left: nil, Right: nil, Color: Black
Node: 635, Parent: 621, Left: 633, Right: nil, Color: Black
Node: 883, Parent: 886, Left: nil, Right: nil, Color: Red
Node: 4, Parent: 14, Left: nil, Right: nil, Color: Red
Node: 65, Parent: 126, Left: nil, Right: nil, Color: Red
Node: 158, Parent: 187, Left: nil, Right: nil, Color: Red
Node: 196, Parent: 187, Left: nil, Right: nil, Color: Red
Node: 301, Parent: 302, Left: nil, Right: nil, Color: Red
Node: 307, Parent: 302, Left: nil, Right: nil, Color: Red
Node: 492, Parent: 477, Left: nil, Right: nil, Color: Red
Node: 633, Parent: 635, Left: nil, Right: nil, Color: Red

Delete: 831, 499, 521, 187, 728, 749, 296, 196, 274, 547, 158, 477, 786, 201, 301
Node: 735, Parent: nil, Left: 417, Right: 863, Color: Black
Node: 417, Parent: 735, Left: 288, Right: 559, Color: Black
Node: 863, Parent: 735, Left: 795, Right: 935, Color: Black
Node: 288, Parent: 417, Left: 152, Right: 318, Color: Red
Node: 559, Parent: 417, Left: 455, Right: 597, Color: Red
Node: 795, Parent: 863, Left: 776, Right: 827, Color: Black
Node: 935, Parent: 863, Left: 886, Right: 997, Color: Black
Node: 152, Parent: 288, Left: 20, Right: 242, Color: Black
Node: 318, Parent: 288, Left: 302, Right: 369, Color: Black
Node: 455, Parent: 559, Left: 438, Right: 492, Color: Black
Node: 597, Parent: 559, Left: 569, Right: 621, Color: Black
Node: 776, Parent: 795, Left: 744, Right: nil, Color: Black
Node: 827, Parent: 795, Left: nil, Right: nil, Color: Black
Node: 886, Parent: 935, Left: 883, Right: nil, Color: Black
Node: 997, Parent: 935, Left: nil, Right: nil, Color: Black
Node: 20, Parent: 152, Left: 14, Right: 126, Color: Red
Node: 242, Parent: 152, Left: nil, Right: nil, Color: Black
Node: 302, Parent: 318, Left: nil, Right: 307, Color: Black
Node: 369, Parent: 318, Left: 367, Right: 382, Color: Black
Node: 438, Parent: 455, Left: 418, Right: nil, Color: Black
Node: 492, Parent: 455, Left: nil, Right: nil, Color: Black
Node: 569, Parent: 597, Left: nil, Right: nil, Color: Black
Node: 621, Parent: 597, Left: 606, Right: 635, Color: Red
Node: 744, Parent: 776, Left: nil, Right: nil, Color: Red
Node: 883, Parent: 886, Left: nil, Right: nil, Color: Red
Node: 14, Parent: 20, Left: 4, Right: nil, Color: Black
Node: 126, Parent: 20, Left: 65, Right: nil, Color: Black
Node: 307, Parent: 302, Left: nil, Right: nil, Color: Red
Node: 367, Parent: 369, Left: nil, Right: nil, Color: Red
Node: 382, Parent: 369, Left: nil, Right: nil, Color: Red
Node: 418, Parent: 438, Left: nil, Right: nil, Color: Red
Node: 606, Parent: 621, Left: nil, Right: nil, Color: Black
Node: 635, Parent: 621, Left: 633, Right: nil, Color: Black
Node: 4, Parent: 14, Left: nil, Right: nil, Color: Red
Node: 65, Parent: 126, Left: nil, Right: nil, Color: Red
Node: 633, Parent: 635, Left: nil, Right: nil, Color: Red

Delete: 126, 997, 559, 744, 65, 369, 367, 635, 606, 438, 621, 382, 492, 4, 633, 418, 776, 242, 455
Node: 417, Parent: nil, Left: 288, Right: 863, Color: Black
Node: 288, Parent: 417, Left: 20, Right: 307, Color: Black
Node: 863, Parent: 417, Left: 735, Right: 886, Color: Black
Node: 20, Parent: 288, Left: 14, Right: 152, Color: Black
Node: 307, Parent: 288, Left: 302, Right: 318, Color: Black
Node: 735, Parent: 863, Left: 569, Right: 795, Color: Black
Node: 886, Parent: 863, Left: 883, Right: 935, Color: Black
Node: 14, Parent: 20, Left: nil, Right: nil, Color: Black
Node: 152, Parent: 20, Left: nil, Right: nil, Color: Black
Node: 302, Parent: 307, Left: nil, Right: nil, Color: Black
Node: 318, Parent: 307, Left: nil, Right: nil, Color: Black
Node: 569, Parent: 735, Left: nil, Right: 597, Color: Black
Node: 795, Parent: 735, Left: nil, Right: 827, Color: Black
Node: 883, Parent: 886, Left: nil, Right: nil, Color: Black
Node: 935, Parent: 886, Left: nil, Right: nil, Color: Black
Node: 597, Parent: 569, Left: nil, Right: nil, Color: Red
Node: 827, Parent: 795, Left: nil, Right: nil, Color: Red

Insert: 143, 451, 431, 58, 313, 761, 873, 164, 518, 350, 163, 91, 971
Node: 417, Parent: nil, Left: 288, Right: 863, Color: Black
Node: 288, Parent: 417, Left: 20, Right: 307, Color: Black
Node: 863, Parent: 417, Left: 735, Right: 886, Color: Black
Node: 20, Parent: 288, Left: 14, Right: 143, Color: Black
Node: 307, Parent: 288, Left: 302, Right: 318, Color: Black
Node: 735, Parent: 863, Left: 569, Right: 795, Color: Black
Node: 886, Parent: 863, Left: 883, Right: 935, Color: Black
Node: 14, Parent: 20, Left: nil, Right: nil, Color: Black
Node: 143, Parent: 20, Left: 58, Right: 163, Color: Red
Node: 302, Parent: 307, Left: nil, Right: nil, Color: Black
Node: 318, Parent: 307, Left: 313, Right: 350, Color: Black
Node: 569, Parent: 735, Left: 451, Right: 597, Color: Red
Node: 795, Parent: 735, Left: 761, Right: 827, Color: Black
Node: 883, Parent: 886, Left: 873, Right: nil, Color: Black
Node: 935, Parent: 886, Left: nil, Right: 971, Color: Black
Node: 58, Parent: 143, Left: nil, Right: 91, Color: Black
Node: 163, Parent: 143, Left: 152, Right: 164, Color: Black
Node: 313, Parent: 318, Left: nil, Right: nil, Color: Red
Node: 350, Parent: 318, Left: nil, Right: nil, Color: Red
Node: 451, Parent: 569, Left: 431, Right: 518, Color: Black
Node: 597, Parent: 569, Left: nil, Right: nil, Color: Black
Node: 761, Parent: 795, Left: nil, Right: nil, Color: Red
Node: 827, Parent: 795, Left: nil, Right: nil, Color: Red
Node: 873, Parent: 883, Left: nil, Right: nil, Color: Red
Node: 971, Parent: 935, Left: nil, Right: nil, Color: Red
Node: 91, Parent: 58, Left: nil, Right: nil, Color: Red
Node: 152, Parent: 163, Left: nil, Right: nil, Color: Red
Node: 164, Parent: 163, Left: nil, Right: nil, Color: Red
Node: 431, Parent: 451, Left: nil, Right: nil, Color: Red
Node: 518, Parent: 451, Left: nil, Right: nil, Color: Red

Insert: 536, 90, 189, 495, 12, 721, 53, 889, 230, 274, 496, 468, 430, 11, 114, 452, 838, 248
Node: 417, Parent: nil, Left: 288, Right: 863, Color: Black
Node: 288, Parent: 417, Left: 143, Right: 307, Color: Black
Node: 863, Parent: 417, Left: 569, Right: 886, Color: Black
Node: 143, Parent: 288, Left: 20, Right: 163, Color: Red
Node: 307, Parent: 288, Left: 302, Right: 318, Color: Black
Node: 569, Parent: 863, Left: 495, Right: 735, Color: Red
Node: 886, Parent: 863, Left: 883, Right: 935, Color: Black
Node: 20, Parent: 143, Left: 12, Right: 90, Color: Black
Node: 163, Parent: 143, Left: 152, Right: 189, Color: Black
Node: 302, Parent: 307, Left: nil, Right: nil, Color: Black
Node: 318, Parent: 307, Left: 313, Right: 350, Color: Black
Node: 495, Parent: 569, Left: 451, Right: 518, Color: Black
Node: 735, Parent: 569, Left: 597, Right: 795, Color: Black
Node: 883, Parent: 886, Left: 873, Right: nil, Color: Black
Node: 935, Parent: 886, Left: 889, Right: 971, Color: Black
Node: 12, Parent: 20, Left: 11, Right: 14, Color: Black
Node: 90, Parent: 20, Left: 58, Right: 91, Color: Red
Node: 152, Parent: 163, Left: nil, Right: nil, Color: Black
Node: 189, Parent: 163, Left: 164, Right: 248, Color: Red
Node: 313, Parent: 318, Left: nil, Right: nil, Color: Red
Node: 350, Parent: 318, Left: nil, Right: nil, Color: Red
Node: 451, Parent: 495, Left: 431, Right: 468, Color: Red
Node: 518, Parent: 495, Left: 496, Right: 536, Color: Red
Node: 597, Parent: 735, Left: nil, Right: 721, Color: Black
Node: 795, Parent: 735, Left: 761, Right: 827, Color: Red
Node: 873, Parent: 883, Left: nil, Right: nil, Color: Red
Node: 889, Parent: 935, Left: nil, Right: nil, Color: Red
Node: 971, Parent: 935, Left: nil, Right: nil, Color: Red
Node: 11, Parent: 12, Left: nil, Right: nil, Color: Red
Node: 14, Parent: 12, Left: nil, Right: nil, Color: Red
Node: 58, Parent: 90, Left: 53, Right: nil, Color: Black
Node: 91, Parent: 90, Left: nil, Right: 114, Color: Black
Node: 164, Parent: 189, Left: nil, Right: nil, Color: Black
Node: 248, Parent: 189, Left: 230, Right: 274, Color: Black
Node: 431, Parent: 451, Left: 430, Right: nil, Color: Black
Node: 468, Parent: 451, Left: 452, Right: nil, Color: Black
Node: 496, Parent: 518, Left: nil, Right: nil, Color: Black
Node: 536, Parent: 518, Left: nil, Right: nil, Color: Black
Node: 721, Parent: 597, Left: nil, Right: nil, Color: Red
Node: 761, Parent: 795, Left: nil, Right: nil, Color: Black
Node: 827, Parent: 795, Left: nil, Right: 838, Color: Black
Node: 53, Parent: 58, Left: nil, Right: nil, Color: Red
Node: 114, Parent: 91, Left: nil, Right: nil, Color: Red
Node: 230, Parent: 248, Left: nil, Right: nil, Color: Red
Node: 274, Parent: 248, Left: nil, Right: nil, Color: Red
Node: 430, Parent: 431, Left: nil, Right: nil, Color: Red
Node: 452, Parent: 468, Left: nil, Right: nil, Color: Red
Node: 838, Parent: 827, Left: nil, Right: nil, Color: Red

Delete: 935, 230, 152, 795, 143, 536, 14, 302, 248, 889, 452, 495, 307, 114, 883
Node: 417, Parent: nil, Left: 288, Right: 863, Color: Black
Node: 288, Parent: 417, Left: 163, Right: 318, Color: Black
Node: 863, Parent: 417, Left: 569, Right: 886, Color: Black
Node: 163, Parent: 288, Left: 20, Right: 189, Color: Red
Node: 318, Parent: 288, Left: 313, Right: 350, Color: Black
Node: 569, Parent: 863, Left: 496, Right: 735, Color: Red
Node: 886, Parent: 863, Left: 873, Right: 971, Color: Black
Node: 20, Parent: 163, Left: 12, Right: 90, Color: Black
Node: 189, Parent: 163, Left: 164, Right: 274, Color: Black
Node: 313, Parent: 318, Left: nil, Right: nil, Color: Black
Node: 350, Parent: 318, Left: nil, Right: nil, Color: Black
Node: 496, Parent: 569, Left: 451, Right: 518, Color: Black
Node: 735, Parent: 569, Left: 597, Right: 827, Color: Black
Node: 873, Parent: 886, Left: nil, Right: nil, Color: Black
Node: 971, Parent: 886, Left: nil, Right: nil, Color: Black
Node: 12, Parent: 20, Left: 11, Right: nil, Color: Black
Node: 90, Parent: 20, Left: 58, Right: 91, Color: Red
Node: 164, Parent: 189, Left: nil, Right: nil, Color: Black
Node: 274, Parent: 189, Left: nil, Right: nil, Color: Black
Node: 451, Parent: 496, Left: 431, Right: 468, Color: Red
Node: 518, Parent: 496, Left: nil, Right: nil, Color: Black
Node: 597, Parent: 735, Left: nil, Right: 721, Color: Black
Node: 827, Parent: 735, Left: 761, Right: 838, Color: Red
Node: 11, Parent: 12, Left: nil, Right: nil, Color: Red
Node: 58, Parent: 90, Left: 53, Right: nil, Color: Black
Node: 91, Parent: 90, Left: nil, Right: nil, Color: Black
Node: 431, Parent: 451, Left: 430, Right: nil, Color: Black
Node: 468, Parent: 451, Left: nil, Right: nil, Color: Black
Node: 721, Parent: 597, Left: nil, Right: nil, Color: Red
Node: 761, Parent: 827, Left: nil, Right: nil, Color: Black
Node: 838, Parent: 827, Left: nil, Right: nil, Color: Black
Node: 53, Parent: 58, Left: nil, Right: nil, Color: Red
Node: 430, Parent: 431, Left: nil, Right: nil, Color: Red

Delete: 189, 827, 597, 288, 313, 873, 496, 886, 431, 569
Node: 417, Parent: nil, Left: 90, Right: 721, Color: Black
Node: 90, Parent: 417, Left: 20, Right: 318, Color: Black
Node: 721, Parent: 417, Left: 451, Right: 863, Color: Black
Node: 20, Parent: 90, Left: 12, Right: 58, Color: Black
Node: 318, Parent: 90, Left: 163, Right: 350, Color: Black
Node: 451, Parent: 721, Left: 430, Right: 518, Color: Black
Node: 863, Parent: 721, Left: 761, Right: 971, Color: Black
Node: 12, Parent: 20, Left: 11, Right: nil, Color: Black
Node: 58, Parent: 20, Left: 53, Right: nil, Color: Black
Node: 163, Parent: 318, Left: 91, Right: 274, Color: Red
Node: 350, Parent: 318, Left: nil, Right: nil, Color: Black
Node: 430, Parent: 451, Left: nil, Right: nil, Color: Black
Node: 518, Parent: 451, Left: 468, Right: nil, Color: Black
Node: 761, Parent: 863, Left: 735, Right: 838, Color: Red
Node: 971, Parent: 863, Left: nil, Right: nil, Color: Black
Node: 11, Parent: 12, Left: nil, Right: nil, Color: Red
Node: 53, Parent: 58, Left: nil, Right: nil, Color: Red
Node: 91, Parent: 163, Left: nil, Right: nil, Color: Black
Node: 274, Parent: 163, Left: 164, Right: nil, Color: Black
Node: 468, Parent: 518, Left: nil, Right: nil, Color: Red
Node: 735, Parent: 761, Left: nil, Right: nil, Color: Black
Node: 838, Parent: 761, Left: nil, Right: nil, Color: Black
Node: 164, Parent: 274, Left: nil, Right: nil, Color: Red

Insert: 470, 715, 220, 677, 190, 402, 796, 911, 750, 834, 65, 849, 720, 26, 968, 228, 544, 40
Node: 417, Parent: nil, Left: 90, Right: 721, Color: Black
Node: 90, Parent: 417, Left: 20, Right: 220, Color: Black
Node: 721, Parent: 417, Left: 470, Right: 834, Color: Black
Node: 20, Parent: 90, Left: 12, Right: 58, Color: Black
Node: 220, Parent: 90, Left: 163, Right: 318, Color: Black
Node: 470, Parent: 721, Left: 451, Right: 677, Color: Black
Node: 834, Parent: 721, Left: 761, Right: 863, Color: Black
Node: 12, Parent: 20, Left: 11, Right: nil, Color: Black
Node: 58, Parent: 20, Left: 40, Right: 65, Color: Red
Node: 163, Parent: 220, Left: 91, Right: 164, Color: Red
Node: 318, Parent: 220, Left: 274, Right: 350, Color: Red
Node: 451, Parent: 470, Left: 430, Right: 468, Color: Red
Node: 677, Parent: 470, Left: 518, Right: 715, Color: Red
Node: 761, Parent: 834, Left: 735, Right: 796, Color: Red
Node: 863, Parent: 834, Left: 838, Right: 968, Color: Red
Node: 11, Parent: 12, Left: nil, Right: nil, Color: Red
Node: 40, Parent: 58, Left: 26, Right: 53, Color: Black
Node: 65, Parent: 58, Left: nil, Right: nil, Color: Black
Node: 91, Parent: 163, Left: nil, Right: nil, Color: Black
Node: 164, Parent: 163, Left: nil, Right: 190, Color: Black
Node: 274, Parent: 318, Left: 228, Right: nil, Color: Black
Node: 350, Parent: 318, Left: nil, Right: 402, Color: Black
Node: 430, Parent: 451, Left: nil, Right: nil, Color: Black
Node: 468, Parent: 451, Left: nil, Right: nil, Color: Black
Node: 518, Parent: 677, Left: nil, Right: 544, Color: Black
Node: 715, Parent: 677, Left: nil, Right: 720, Color: Black
Node: 735, Parent: 761, Left: nil, Right: 750, Color: Black
Node: 796, Parent: 761, Left: nil, Right: nil, Color: Black
Node: 838, Parent: 863, Left: nil, Right: 849, Color: Black
Node: 968, Parent: 863, Left: 911, Right: 971, Color: Black
Node: 26, Parent: 40, Left: nil, Right: nil, Color: Red
Node: 53, Parent: 40, Left: nil, Right: nil, Color: Red
Node: 190, Parent: 164, Left: nil, Right: nil, Color: Red
Node: 228, Parent: 274, Left: nil, Right: nil, Color: Red
Node: 402, Parent: 350, Left: nil, Right: nil, Color: Red
Node: 544, Parent: 518, Left: nil, Right: nil, Color: Red
Node: 720, Parent: 715, Left: nil, Right: nil, Color: Red
Node: 750, Parent: 735, Left: nil, Right: nil, Color: Red
Node: 849, Parent: 838, Left: nil, Right: nil, Color: Red
Node: 911, Parent: 968, Left: nil, Right: nil, Color: Red
Node: 971, Parent: 968, Left: nil, Right: nil, Color: Red

Delete: 26, 58, 220, 470, 518, 750, 761, 677, 417, 796
Node: 430, Parent: nil, Left: 90, Right: 721, Color: Black
Node: 90, Parent: 430, Left: 20, Right: 228, Color: Black
Node: 721, Parent: 430, Left: 544, Right: 834, Color: Black
Node: 20, Parent: 90, Left: 12, Right: 53, Color: Black
Node: 228, Parent: 90, Left: 163, Right: 318, Color: Black
Node: 544, Parent: 721, Left: 451, Right: 715, Color: Black
Node: 834, Parent: 721, Left: 735, Right: 863, Color: Black
Node: 12, Parent: 20, Left: 11, Right: nil, Color: Black
Node: 53, Parent: 20, Left: 40, Right: 65, Color: Red
Node: 163, Parent: 228, Left: 91, Right: 164, Color: Red
Node: 318, Parent: 228, Left: 274, Right: 350, Color: Red
Node: 451, Parent: 544, Left: nil, Right: 468, Color: Black
Node: 715, Parent: 544, Left: nil, Right: 720, Color: Black
Node: 735, Parent: 834, Left: nil, Right: nil, Color: Black
Node: 863, Parent: 834, Left: 838, Right: 968, Color: Red
Node: 11, Parent: 12, Left: nil, Right: nil, Color: Red
Node: 40, Parent: 53, Left: nil, Right: nil, Color: Black
Node: 65, Parent: 53, Left: nil, Right: nil, Color: Black
Node: 91, Parent: 163, Left: nil, Right: nil, Color: Black
Node: 164, Parent: 163, Left: nil, Right: 190, Color: Black
Node: 274, Parent: 318, Left: nil, Right: nil, Color: Black
Node: 350, Parent: 318, Left: nil, Right: 402, Color: Black
Node: 468, Parent: 451, Left: nil, Right: nil, Color: Red
Node: 720, Parent: 715, Left: nil, Right: nil, Color: Red
Node: 838, Parent: 863, Left: nil, Right: 849, Color: Black
Node: 968, Parent: 863, Left: 911, Right: 971, Color: Black
Node: 190, Parent: 164, Left: nil, Right: nil, Color: Red
Node: 402, Parent: 350, Left: nil, Right: nil, Color: Red
Node: 849, Parent: 838, Left: nil, Right: nil, Color: Red
Node: 911, Parent: 968, Left: nil, Right: nil, Color: Red
Node: 971, Parent: 968, Left: nil, Right: nil, Color: Red

Delete: 834, 544, 849, 863, 968, 838, 468, 318, 53, 90, 911, 430, 228, 721, 971, 164, 735, 40, 715, 11
Node: 91, Parent: nil, Left: 20, Right: 451, Color: Black
Node: 20, Parent: 91, Left: 12, Right: 65, Color: Black
Node: 451, Parent: 91, Left: 274, Right: 720, Color: Black
Node: 12, Parent: 20, Left: nil, Right: nil, Color: Black
Node: 65, Parent: 20, Left: nil, Right: nil, Color: Black
Node: 274, Parent: 451, Left: 190, Right: 350, Color: Red
Node: 720, Parent: 451, Left: nil, Right: nil, Color: Black
Node: 190, Parent: 274, Left: 163, Right: nil, Color: Black
Node: 350, Parent: 274, Left: nil, Right: 402, Color: Black
Node: 163, Parent: 190, Left: nil, Right: nil, Color: Red
Node: 402, Parent: 350, Left: nil, Right: nil, Color: Red

Delete: 163, 274, 91, 65, 20, 350, 720, 12, 190, 402
Node: 451, Parent: nil, Left: nil, Right: nil, Color: Black

